city,lat,lon,temp,humidity,cloudiness,wind_speed,country
Saskylakh,71.97,114.09,-12.27,98,94,0.851,RU
Vaini,15.34,74.49,22.73,86,100,2.671,IN
Wangqing,43.31,129.76,-0.67,56,45,2.013,CN
Punta Arenas,-53.16,-70.91,8.63,70,0,3.6,CL
Bonwapitse,-23.08,26.7,24.73,32,18,3.787,BW
Cap-aux-Meules,47.38,-61.86,11.0,100,90,3.1,CA
Tazovskiy,67.47,78.7,-0.17,96,100,9.748,RU
Qaanaaq,77.48,-69.36,-6.97,87,100,5.666,GL
Busselton,-33.64,115.35,7.57,62,18,2.234,AU
Santa Maria,-16.02,-48.01,33.95,18,0,2.6,BR
Ushuaia,-54.81,-68.31,10.0,57,0,1.517,AR
Katsuura,33.93,134.5,16.0,67,75,6.2,JP
Riyadh,24.63,46.72,29.0,25,0,1.5,SA
Lasa,34.92,32.53,22.43,54,20,1.5,CY
Yellowknife,62.45,-114.38,-1.08,92,90,7.7,CA
Waipawa,-39.94,176.59,10.56,95,100,2.986,NZ
Torbay,47.66,-52.73,8.5,75,75,5.7,CA
Stykkisholmur,65.08,-22.73,6.33,73,91,12.548,IS
Kysyl-Syr,63.9,122.77,-7.88,96,75,1.682,RU
Hasaki,35.73,140.83,14.67,72,75,3.1,JP
Conceicao da Barra,-18.59,-39.73,25.53,77,17,8.496,BR
Atuona,-9.8,-139.03,26.13,74,17,11.119,PF
Jamestown,-33.21,138.6,12.13,83,94,0.662,AU
Puerto Ayora,-0.74,-90.35,22.91,57,20,8.7,EC
Mataura,-46.19,168.86,10.0,86,58,0.566,NZ
Hilo,19.71,-155.08,20.94,69,20,2.1,US
Castro,-42.48,-73.76,13.0,58,90,3.6,CL
Vila Franca do Campo,37.72,-25.43,21.65,83,75,8.7,PT
Albany,42.65,-73.75,13.91,38,20,2.031,US
San Rafael,-34.61,-68.33,11.53,46,42,4.01,AR
Sri Aman,1.24,111.46,23.93,94,99,0.496,MY
Fort Nelson,58.81,-122.69,0.0,97,90,1.5,CA
Sao Jose da Coroa Grande,-8.9,-35.15,25.93,72,13,5.768,BR
Taoudenni,22.68,-3.98,35.93,18,47,4.356,ML
Vigrestad,58.57,5.7,11.21,66,75,5.1,NO
Thompson,55.74,-97.86,1.0,86,90,3.1,CA
